1	9
1	21
1	30
1	24
1	16
1	37
1	27
2	43
3	19
3	50
3	12
4	50
4	32
4	10
4	45
4	22
4	23
4	41
4	11
5	49
5	19
5	47
5	8
5	7
6	40
6	39
6	15
6	9
7	46
7	19
7	50
7	13
8	32
8	29
8	10
9	21
9	48
9	50
11	42
11	14
11	46
12	32
12	48
12	45
13	49
13	15
13	21
13	24
14	47
15	19
15	39
16	44
17	31
17	20
18	35
18	26
18	46
19	24
19	40
19	37
20	43
21	24
22	39
22	43
23	47
23	48
23	26
23	34
24	45
25	38
26	43
26	44
26	33
26	29
27	28
27	38
28	39
29	46
29	39
30	45
31	37
31	41
31	32
32	43
32	48
32	42
33	37
33	43
34	35
36	43
36	44
37	43
37	46
38	42
40	41
40	45
43	47
44	46
